,date,text,followers,polarity,sentiment_confidence,clusters
40,2019-11-24 22:34:44,"b'RT @EbayBoostNow: Fire TV Stick with Alexa Voice Remote, streaming media player https://t.co/Ek3Lwj900A\n\n#FireTVStick #AlexaVoiceRemote #St\xe2\x80\xa6'",9715,-0.1,0.2,1
41,2019-11-24 22:34:44,"b""47% off! code MPAAUME3\nBENANCY Women's Long Open Front Casual Maxi Long Sleeve Cardigan Sweater with Pocket\nhttps://t.co/wW7mk2RAHe""",326,-0.15000000000000005,0.5416666666666666,3
42,2019-11-24 22:34:42,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',587,0.7,0.4,0
43,2019-11-24 22:34:41,b'RT @EbayBoostNow: GoPro HERO 7 Black https://t.co/X7FKqzyE5s\n\n#GoPro #Hero7 #action #video #camera #electronics #waterproof #affiliatelink\xe2\x80\xa6',9715,-0.033333333333333326,0.26666666666666666,3
44,2019-11-24 22:34:40,b'RT @thebestbooks: I love this tshirt! Book Lovers Make Better Readers. #books #gifts #booklovers  https://t.co/xCG1fASZcl',309,0.5625,0.55,0
45,2019-11-24 22:34:38,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',123,0.7,0.4,0
46,2019-11-24 22:34:37,b'@mental_h_memo https://t.co/NOGdxx6u2G Ink Stained by John Urbancik. About creativity and finding inspiration in anything you pursue.',4006,0.0,0.0,1
47,2019-11-24 22:34:37,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',222,0.7,0.4,0
48,2019-11-24 22:34:35,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',507,0.7,0.4,0
49,2019-11-24 22:34:35,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',42,0.7,0.4,0
50,2019-11-24 22:34:32,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',151,0.7,0.4,0
51,2019-11-24 22:34:31,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',7,0.7,0.4,0
